"type","code","message","context","selector"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"endpoint\" found on the web page.","<a id=\"endpoint\" class=\"yt-simple-endpoint style-scope ytd-mini-guide-entry-renderer\" aria-selected=\"false\" aria-label=\"Subscriptions\" title=\"Subscriptions\" href=\"/feed/subscriptions\">\n  <yt-icon id=\"icon\" class=\"gu...</a>","#endpoint"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"icon\" found on the web page.","<yt-icon id=\"icon\" class=\"guide-icon style-scope ytd-mini-guide-entry-renderer\"><!--css-build:shady--><!--css_b...</yt-icon>","#icon"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"tooltip\" found on the web page.","<div id=\"tooltip\" class=\"hidden style-scope tp-yt-paper-tooltip\" style-target=\"tooltip\">\n  \n    Subscriptions\n  \n</div>","#tooltip"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"ally-menu-button\" found on the web page.","<button type=\"button\" id=\"ally-menu-button\" class=\"ally-menu-button style-scope ytd-mini-guide-entry-renderer\" aria-haspopup=\"true\" aria-expanded=\"false\" aria-label=\"Subscriptions\"></button>","#ally-menu-button"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"endpoint\" found on the web page.","<a id=\"endpoint\" class=\"yt-simple-endpoint style-scope ytd-mini-guide-entry-renderer\" aria-selected=\"false\" aria-label=\"You\" title=\"You\" href=\"/feed/you\">\n  <yt-icon id=\"icon\" class=\"gu...</a>","#endpoint"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"icon\" found on the web page.","<yt-icon id=\"icon\" class=\"guide-icon style-scope ytd-mini-guide-entry-renderer\"><!--css-build:shady--><!--css_b...</yt-icon>","#icon"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"tooltip\" found on the web page.","<div id=\"tooltip\" class=\"hidden style-scope tp-yt-paper-tooltip\" style-target=\"tooltip\">\n  \n    You\n  \n</div>","#tooltip"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"ally-menu-button\" found on the web page.","<button type=\"button\" id=\"ally-menu-button\" class=\"ally-menu-button style-scope ytd-mini-guide-entry-renderer\" aria-haspopup=\"true\" aria-expanded=\"false\" aria-label=\"You\"></button>","#ally-menu-button"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"header\" found on the web page.","<div id=\"header\" class=\"style-scope ytd-browse\"></div>","#header"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"button\" found on the web page.","<button id=\"button\" class=\"style-scope yt-icon-button\">\n    <yt-icon id=\"expander-icon...</button>","#button"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.Button.Name","This button element does not have a name available to an accessibility API. Valid names are: title , element content, aria-label , aria-labelledby .","<button id=\"button\" class=\"style-scope yt-icon-button\">\n    <yt-icon id=\"expander-icon...</button>","#button"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"interaction\" found on the web page.","<yt-interaction id=\"interaction\" class=\"circular style-scope yt-icon-button\"><!--css-build:shady--><!--css_b...</yt-interaction>","#interaction"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"items\" found on the web page.","<div id=\"items\" class=\"style-scope ytd-playlist-sidebar-renderer\"></div>","#items"
